    Name     |      Class      | Score 
ALICA        |   K64A5 KHDL    |  1.5  
BOBBI        |  K64A2 ToanTin  |  6.6  
THURMAN      |  K66A4 KHMT&TT  |  9.4  
MISTY        |  K65A2 ToanTin  |  9.3  
JADA         |  K65A3 KHMT&TT  |  1.2  
BRANDIE      |   K63A5 KHDL    |  6.3  
MARCELLE     |  K66A4 KHMT&TT  |  7.6  
RANDI        |   K63A5 KHDL    |  6.7  
TRACY        |  K65A4 KHMT&TT  |  8.9  
CONTESSA     |  K63A2 ToanTin  |  3.4  
RANDOLPH     |   K66A5 KHDL    |  7.9  
BRIDGETT     |  K63A1 ToanHoc  |  1.3  
ELEONORA     |   K65A5 KHDL    |  9.7  
SHENA        |  K64A3 KHMT&TT  |  1.3  
VETA         |  K63A1 ToanHoc  |  4.5  
GRETCHEN     |  K67A1 ToanHoc  |  8.9  
JAMAL        |  K66A3 KHMT&TT  |  5.4  
CLARENCE     |   K64A5 KHDL    |  5.9  
QUINN        |  K66A1 ToanHoc  |  9.8  
FREEMAN      |  K66A4 KHMT&TT  |  9.4  
TOBIAS       |  K65A3 KHMT&TT  |  5.2  
MI           |  K63A2 ToanTin  |  6.9  
INEZ         |  K63A2 ToanTin  |  8.8  
MELODEE      |  K64A4 KHMT&TT  |  6.8  
CATHRYN      |  K65A4 KHMT&TT  |  5.8  
DREAMA       |  K66A1 ToanHoc  |  2.6  
DOLORIS      |  K66A2 ToanTin  |  7.2  
RUEBEN       |  K65A3 KHMT&TT  |  9.6  
CHU          |   K64A5 KHDL    |  3.6  
CICELY       |  K66A3 KHMT&TT  |  9.3  
MARC         |  K65A2 ToanTin  |  7.7  
CLARIBEL     |  K64A4 KHMT&TT  |  0.0  
CARMINE      |   K65A5 KHDL    |  2.2  
DAYLE        |  K67A4 KHMT&TT  |  3.2  
CORRIN       |  K63A2 ToanTin  |  0.0  
BRANT        |  K65A2 ToanTin  |  2.3  
MARIE        |  K63A4 KHMT&TT  |  9.6  
DOMENICA     |  K67A1 ToanHoc  |  6.5  
MORRIS       |  K66A2 ToanTin  |  8.7  
NITA         |  K63A4 KHMT&TT  |  2.9  
HOPE         |   K65A5 KHDL    |  4.2  
DELMER       |  K65A1 ToanHoc  |  4.0  
HIEN         |  K67A4 KHMT&TT  |  6.4  
IRMGARD      |  K67A1 ToanHoc  |  5.6  
CHERYLE      |  K66A3 KHMT&TT  |  1.8  
CARRY        |  K65A2 ToanTin  |  6.6  
AVELINA      |  K65A4 KHMT&TT  |  6.6  
HOLLY        |  K64A3 KHMT&TT  |  3.2  
YUKI         |  K64A1 ToanHoc  |  7.9  
DAN          |  K67A3 KHMT&TT  |  4.0  
CARTER       |   K65A5 KHDL    |  4.6  
SUZETTE      |   K66A5 KHDL    |  4.8  
JANINA       |  K64A2 ToanTin  |  5.2  
MAXWELL      |  K63A1 ToanHoc  |  2.6  
ASHTON       |  K65A1 ToanHoc  |  8.4  
HERMELINDA   |  K63A4 KHMT&TT  |  9.6  
DELAINE      |  K63A3 KHMT&TT  |  4.4  
TRESSIE      |  K66A2 ToanTin  |  0.4  
CLARA        |   K65A5 KHDL    |  2.2  
VADA         |   K63A5 KHDL    |  3.4  
ASIA         |   K66A5 KHDL    |  0.7  
HAN          |  K63A1 ToanHoc  |  8.8  
ANGELE       |   K66A5 KHDL    |  3.9  
CARLI        |  K65A2 ToanTin  |  0.4  
ROSE         |  K66A2 ToanTin  |  7.1  
VINA         |  K66A1 ToanHoc  |  7.5  
BREE         |  K67A4 KHMT&TT  |  4.7  
ANDREE       |  K64A1 ToanHoc  |  7.2  
LUCIE        |  K63A2 ToanTin  |  0.5  
FARRAH       |  K66A3 KHMT&TT  |  5.8  
CARMELITA    |   K66A5 KHDL    |  7.6  
RAPHAEL      |  K63A4 KHMT&TT  |  5.4  
LIESELOTTE   |   K67A5 KHDL    |  6.6  
TAMESHA      |  K66A1 ToanHoc  |  5.1  
DULCE        |  K63A1 ToanHoc  |  5.3  
ABEL         |  K65A1 ToanHoc  |  5.7  
CLEMENTINA   |   K63A5 KHDL    |  8.3  
DONETTE      |  K67A2 ToanTin  |  6.0  
PRISCILLA    |   K64A5 KHDL    |  1.0  
EVERETT      |  K63A1 ToanHoc  |  8.0  
MYRL         |  K63A4 KHMT&TT  |  0.2  
RENDA        |  K67A3 KHMT&TT  |  6.0  
LISSETTE     |   K63A5 KHDL    |  1.3  
MICHEL       |  K65A2 ToanTin  |  8.5  
ROBBIN       |  K65A2 ToanTin  |  8.4  
ALICE        |  K63A1 ToanHoc  |  3.0  
SUNSHINE     |  K63A4 KHMT&TT  |  1.0  
WYATT        |  K63A1 ToanHoc  |  3.9  
WILBURN      |  K67A2 ToanTin  |  7.3  
ROSS         |  K66A2 ToanTin  |  2.8  
ELMER        |  K63A4 KHMT&TT  |  5.3  
NATISHA      |   K63A5 KHDL    |  8.2  
BURT         |  K67A1 ToanHoc  |  5.5  
ZENAIDA      |  K63A2 ToanTin  |  6.2  
MAYBELL      |  K66A3 KHMT&TT  |  5.4  
RANDEE       |  K63A2 ToanTin  |  6.6  
TWANA        |  K67A4 KHMT&TT  |  0.3  
CARTER       |  K67A2 ToanTin  |  6.4  
BRIDGETTE    |   K63A5 KHDL    |  3.7  
KARIE        |  K66A4 KHMT&TT  |  4.9  
VERONICA     |  K66A3 KHMT&TT  |  7.6  
KAMALA       |  K66A1 ToanHoc  |  0.3  
LAURENCE     |   K67A5 KHDL    |  4.5  
TIERRA       |  K65A2 ToanTin  |  8.8  
LAUREEN      |  K65A1 ToanHoc  |  9.3  
CINDY        |  K65A1 ToanHoc  |  4.4  
CURT         |  K63A4 KHMT&TT  |  5.5  
LORILEE      |  K67A4 KHMT&TT  |  8.2  
LENA         |   K63A5 KHDL    |  7.9  
LORETTE      |  K65A4 KHMT&TT  |  4.2  
ZOILA        |  K63A1 ToanHoc  |  5.9  
PALMER       |  K66A2 ToanTin  |  2.2  
MELISA       |   K67A5 KHDL    |  6.9  
REBECCA      |  K66A1 ToanHoc  |  7.9  
ALLEGRA      |  K65A2 ToanTin  |  3.2  
CLARETHA     |  K67A1 ToanHoc  |  2.9  
GIUSEPPINA   |   K67A5 KHDL    |  0.3  
BERNEICE     |  K65A2 ToanTin  |  2.9  
HENRIETTA    |  K66A1 ToanHoc  |  8.5  
SHERISE      |  K63A1 ToanHoc  |  0.7  
DEBI         |   K65A5 KHDL    |  7.5  
BECKI        |  K66A4 KHMT&TT  |  1.2  
FERMIN       |  K65A3 KHMT&TT  |  9.5  
LEEANN       |   K67A5 KHDL    |  3.5  
DAMIAN       |  K63A3 KHMT&TT  |  6.0  
JANETH       |  K65A4 KHMT&TT  |  1.1  
KATHRIN      |  K63A2 ToanTin  |  9.3  
ELLIE        |  K64A1 ToanHoc  |  1.3  
SCOTTIE      |  K67A4 KHMT&TT  |  6.0  
DOMINICA     |  K67A1 ToanHoc  |  9.5  
KATIA        |  K67A2 ToanTin  |  10.0 
LAVONE       |   K66A5 KHDL    |  7.1  
DINA         |   K66A5 KHDL    |  3.8  
LAURA        |  K64A1 ToanHoc  |  0.9  
VANITA       |  K66A3 KHMT&TT  |  3.0  
KAROLINE     |  K66A4 KHMT&TT  |  10.0 
WANETA       |  K67A1 ToanHoc  |  9.4  
GISELA       |  K67A1 ToanHoc  |  3.4  
CALANDRA     |  K65A2 ToanTin  |  7.3  
SARA         |  K64A1 ToanHoc  |  4.4  
LAURAN       |  K67A3 KHMT&TT  |  7.0  
CHANDRA      |  K64A3 KHMT&TT  |  5.5  
PHYLLIS      |  K66A1 ToanHoc  |  9.3  
YOLANDA      |  K64A2 ToanTin  |  3.1  
LORETA       |   K65A5 KHDL    |  5.9  
TERESSA      |  K66A1 ToanHoc  |  7.0  
MICHELL      |  K65A4 KHMT&TT  |  0.9  
ELNORA       |   K67A5 KHDL    |  9.7  
CATHARINE    |   K65A5 KHDL    |  4.7  
TASHIA       |   K63A5 KHDL    |  1.9  
YASUKO       |  K67A2 ToanTin  |  4.2  
CARSON       |   K63A5 KHDL    |  2.5  
NELLA        |  K63A2 ToanTin  |  7.9  
KANESHA      |  K67A4 KHMT&TT  |  2.6  
ANDRIA       |  K65A1 ToanHoc  |  6.1  
KATHERN      |  K67A4 KHMT&TT  |  4.1  
KAREY        |  K65A3 KHMT&TT  |  0.5  
VERLIE       |  K64A1 ToanHoc  |  7.2  
ELTON        |  K66A1 ToanHoc  |  3.9  
ELVINA       |   K64A5 KHDL    |  8.1  
KIYOKO       |  K67A1 ToanHoc  |  0.9  
TANYA        |  K63A1 ToanHoc  |  1.5  
CREOLA       |  K66A2 ToanTin  |  2.3  
ISSAC        |   K67A5 KHDL    |  1.5  
KRYSTEN      |  K67A2 ToanTin  |  3.8  
JACQUETTA    |  K66A4 KHMT&TT  |  3.0  
VASILIKI     |   K66A5 KHDL    |  9.7  
TULA         |  K66A1 ToanHoc  |  7.6  
REATHA       |   K63A5 KHDL    |  6.0  
ISAIAS       |  K66A2 ToanTin  |  1.0  
KATHEY       |  K64A4 KHMT&TT  |  1.8  
ADA          |  K64A2 ToanTin  |  1.2  
ELADIA       |   K67A5 KHDL    |  6.8  
BERNETTA     |   K65A5 KHDL    |  2.2  
KAROL        |  K63A1 ToanHoc  |  0.5  
ANGELIC      |  K66A4 KHMT&TT  |  9.1  
YER          |  K63A1 ToanHoc  |  8.4  
STUART       |  K64A3 KHMT&TT  |  0.9  
CATHI        |   K64A5 KHDL    |  0.5  
MARGET       |  K65A3 KHMT&TT  |  6.3  
JACALYN      |  K63A1 ToanHoc  |  5.7  
LUCAS        |  K64A3 KHMT&TT  |  4.2  
MELODI       |  K67A4 KHMT&TT  |  9.8  
ADELLE       |  K63A2 ToanTin  |  6.9  
MELITA       |  K63A4 KHMT&TT  |  3.8  
CLARICE      |   K63A5 KHDL    |  7.9  
JANETTE      |  K66A2 ToanTin  |  7.9  
EMORY        |  K63A2 ToanTin  |  0.6  
TEREASA      |  K66A1 ToanHoc  |  2.7  
ADDIE        |  K63A2 ToanTin  |  8.8  
MADELENE     |  K64A2 ToanTin  |  9.8  
EVANGELINE   |  K65A4 KHMT&TT  |  6.8  
DORRIS       |  K64A4 KHMT&TT  |  6.6  
ELISEO       |  K66A4 KHMT&TT  |  8.0  
ANGELINA     |  K66A3 KHMT&TT  |  9.5  
IRISH        |  K66A4 KHMT&TT  |  0.1  
CLARA        |  K65A1 ToanHoc  |  4.6  
JEFF         |  K64A3 KHMT&TT  |  4.8  
ANTONIETTA   |  K64A4 KHMT&TT  |  5.1  
HILTON       |  K66A4 KHMT&TT  |  1.6  
LUCINA       |  K65A1 ToanHoc  |  7.4  
ELBERT       |  K64A3 KHMT&TT  |  9.6  
TANDRA       |  K63A3 KHMT&TT  |  0.4  
SUSANNE      |   K67A5 KHDL    |  3.1  
CHERRIE      |  K65A1 ToanHoc  |  9.0  
RENDA        |  K67A1 ToanHoc  |  1.2  
JULIE        |  K63A2 ToanTin  |  5.9  
RACHELL      |  K63A4 KHMT&TT  |  5.4  
RYAN         |  K63A2 ToanTin  |  7.1  
AYESHA       |  K63A2 ToanTin  |  4.8  
DIAN         |  K64A2 ToanTin  |  2.1  
KATHIE       |  K64A1 ToanHoc  |  5.2  
CHAD         |  K64A2 ToanTin  |  4.1  
LYNSEY       |  K66A4 KHMT&TT  |  2.7  
ILDA         |  K64A2 ToanTin  |  4.7  
LUPITA       |  K63A3 KHMT&TT  |  8.7  
STAN         |  K65A1 ToanHoc  |  9.1  
JESUSITA     |  K63A3 KHMT&TT  |  9.4  
VELDA        |   K66A5 KHDL    |  2.0  
YUKI         |  K67A4 KHMT&TT  |  8.2  
CLEMENCIA    |  K63A1 ToanHoc  |  9.9  
PAULETTA     |  K64A1 ToanHoc  |  1.2  
OSSIE        |   K65A5 KHDL    |  8.8  
PEG          |  K64A3 KHMT&TT  |  3.4  
CHERRY       |  K65A3 KHMT&TT  |  9.2  
BART         |  K63A2 ToanTin  |  0.2  
MANDIE       |   K65A5 KHDL    |  3.7  
ABRAM        |  K67A1 ToanHoc  |  1.1  
STANLEY      |  K67A2 ToanTin  |  9.6  
FERNANDA     |  K64A3 KHMT&TT  |  0.1  
KIP          |   K67A5 KHDL    |  3.8  
KIZZIE       |  K63A1 ToanHoc  |  5.1  
MARYANNA     |  K66A4 KHMT&TT  |  3.1  
GLAYDS       |  K63A3 KHMT&TT  |  7.1  
JANICE       |  K66A1 ToanHoc  |  9.4  
CARYLON      |  K66A3 KHMT&TT  |  7.9  
KIANA        |  K66A3 KHMT&TT  |  9.7  
HILDEGARD    |  K64A2 ToanTin  |  4.4  
PING         |  K64A3 KHMT&TT  |  0.5  
ARMIDA       |   K65A5 KHDL    |  1.8  
SIGNE        |  K65A4 KHMT&TT  |  1.1  
PRINCE       |  K65A1 ToanHoc  |  3.4  
SUSAN        |  K63A4 KHMT&TT  |  2.2  
LORENE       |  K64A2 ToanTin  |  4.0  
FELIPA       |  K63A2 ToanTin  |  7.3  
ARLETTE      |  K64A3 KHMT&TT  |  1.0  
NEDA         |  K63A4 KHMT&TT  |  0.7  
ARIE         |  K64A1 ToanHoc  |  6.0  
DANN         |  K63A1 ToanHoc  |  2.2  
TAKISHA      |   K64A5 KHDL    |  9.2  
STEPHAINE    |   K66A5 KHDL    |  8.9  
GENA         |  K65A3 KHMT&TT  |  2.7  
CARYLON      |  K64A2 ToanTin  |  8.5  
ESTELLA      |   K65A5 KHDL    |  5.8  
LOVIE        |   K63A5 KHDL    |  9.2  
HANA         |   K65A5 KHDL    |  0.8  
SADIE        |  K67A1 ToanHoc  |  9.6  
MANA         |  K64A3 KHMT&TT  |  9.7  
ANNABELL     |  K65A3 KHMT&TT  |  3.5  
ANAMARIA     |  K63A3 KHMT&TT  |  3.0  
NARCISA      |  K66A1 ToanHoc  |  9.9  
CATINA       |  K63A3 KHMT&TT  |  5.2  
MAGGIE       |  K67A1 ToanHoc  |  0.1  
MARGARETA    |  K64A2 ToanTin  |  3.9  
JOLANDA      |  K63A3 KHMT&TT  |  0.8  
CORDIE       |   K66A5 KHDL    |  8.8  
JODIE        |  K67A3 KHMT&TT  |  7.0  
YAHAIRA      |  K66A3 KHMT&TT  |  7.0  
VANNESA      |  K63A2 ToanTin  |  5.3  
LONI         |  K64A1 ToanHoc  |  4.0  
RENDA        |  K66A2 ToanTin  |  3.6  
JOHNA        |  K66A2 ToanTin  |  8.8  
FREEDA       |  K65A2 ToanTin  |  8.7  
CANDANCE     |  K67A2 ToanTin  |  0.6  
JAMAAL       |  K63A2 ToanTin  |  7.5  
MERCEDES     |  K64A1 ToanHoc  |  2.7  
SHIRA        |  K64A3 KHMT&TT  |  9.8  
DULCIE       |  K63A3 KHMT&TT  |  8.0  
BECKI        |  K63A1 ToanHoc  |  1.8  
FRANKLYN     |  K67A2 ToanTin  |  3.3  
MOSES        |  K65A2 ToanTin  |  5.0  
SIRENA       |  K64A2 ToanTin  |  0.9  
ARNOLDO      |   K63A5 KHDL    |  0.1  
LASHANDRA    |  K64A3 KHMT&TT  |  0.2  
DENAE        |   K67A5 KHDL    |  4.4  
GEORGIANNA   |  K67A3 KHMT&TT  |  6.8  
JIMMIE       |  K65A4 KHMT&TT  |  1.8  
EBONY        |  K63A1 ToanHoc  |  3.0  
ALPHONSE     |  K66A4 KHMT&TT  |  6.3  
AIDE         |  K64A4 KHMT&TT  |  0.8  
ELDEN        |   K63A5 KHDL    |  1.9  
HYACINTH     |  K65A4 KHMT&TT  |  4.3  
LATASHIA     |  K65A2 ToanTin  |  8.4  
ELEANOR      |  K65A4 KHMT&TT  |  9.3  
BRYNN        |   K66A5 KHDL    |  9.0  
THEODORA     |  K67A1 ToanHoc  |  7.0  
TIMOTHY      |   K65A5 KHDL    |  9.9  
KERI         |   K63A5 KHDL    |  6.4  
FELICE       |   K64A5 KHDL    |  4.4  
KENTON       |  K66A1 ToanHoc  |  9.7  
BEATRIZ      |  K67A2 ToanTin  |  5.5  
SARINA       |  K65A2 ToanTin  |  6.2  
HERMA        |   K66A5 KHDL    |  2.1  
DELIA        |  K64A3 KHMT&TT  |  1.9  
PATSY        |  K64A4 KHMT&TT  |  8.0  
VELMA        |   K66A5 KHDL    |  4.6  
GARNET       |  K67A2 ToanTin  |  5.2  
MARLYS       |  K67A3 KHMT&TT  |  7.6  
CHELSEA      |  K67A1 ToanHoc  |  0.5  
GLEN         |  K64A4 KHMT&TT  |  1.1  
BERNARDA     |  K63A4 KHMT&TT  |  2.6  
VIVIENNE     |  K63A1 ToanHoc  |  6.7  
JAIMEE       |   K63A5 KHDL    |  2.5  
JULIANA      |  K64A4 KHMT&TT  |  0.9  
MARCELINA    |  K64A3 KHMT&TT  |  0.0  
ADELLE       |  K64A4 KHMT&TT  |  1.0  
CAROLEE      |  K65A1 ToanHoc  |  9.2  
BLAKE        |  K64A2 ToanTin  |  5.4  
MICAH        |  K67A3 KHMT&TT  |  8.5  
WILMER       |  K64A1 ToanHoc  |  9.7  
VICTOR       |  K63A3 KHMT&TT  |  0.6  
IGNACIA      |   K65A5 KHDL    |  6.6  
EDMOND       |  K63A3 KHMT&TT  |  8.0  
KIRSTIE      |   K63A5 KHDL    |  6.0  
CHERRI       |  K67A1 ToanHoc  |  8.9  
CHASE        |  K65A4 KHMT&TT  |  0.1  
CESAR        |  K66A2 ToanTin  |  3.0  
JENNINE      |  K67A3 KHMT&TT  |  2.9  
ADRIENE      |  K64A2 ToanTin  |  4.8  
HILARIA      |  K65A1 ToanHoc  |  7.2  
LAQUITA      |  K64A3 KHMT&TT  |  6.5  
BURT         |  K64A3 KHMT&TT  |  7.7  
JACQUELINE   |  K66A4 KHMT&TT  |  4.6  
JAQUELYN     |   K63A5 KHDL    |  10.0 
ANNIKA       |  K63A2 ToanTin  |  4.0  
EFRAIN       |  K65A2 ToanTin  |  1.3  
MORTON       |  K66A4 KHMT&TT  |  5.0  
MATTHEW      |  K65A2 ToanTin  |  0.4  
BIANCA       |  K63A4 KHMT&TT  |  8.1  
GABRIELE     |  K65A4 KHMT&TT  |  0.0  
SPARKLE      |  K63A3 KHMT&TT  |  0.6  
IRA          |  K64A1 ToanHoc  |  5.3  
ALISA        |  K67A4 KHMT&TT  |  2.2  
RAYE         |  K66A4 KHMT&TT  |  7.9  
PORSCHE      |  K65A2 ToanTin  |  6.4  
SALOME       |  K63A1 ToanHoc  |  2.1  
AUDIE        |   K63A5 KHDL    |  5.3  
SELENE       |  K64A4 KHMT&TT  |  0.1  
REENA        |   K66A5 KHDL    |  6.6  
JOIE         |  K66A2 ToanTin  |  9.4  
ARLENE       |  K63A4 KHMT&TT  |  4.8  
KIA          |  K63A4 KHMT&TT  |  7.3  
MAYBELL      |  K65A4 KHMT&TT  |  8.0  
MARGARETT    |  K65A1 ToanHoc  |  4.3  
CHRISTEEN    |  K67A2 ToanTin  |  1.2  
SAMANTHA     |  K65A2 ToanTin  |  8.7  
LOMA         |   K67A5 KHDL    |  4.9  
JERRY        |  K63A4 KHMT&TT  |  7.7  
LUCIANA      |  K64A1 ToanHoc  |  3.9  
CHERYLL      |  K64A2 ToanTin  |  3.7  
LOVELLA      |  K66A3 KHMT&TT  |  0.4  
ZACHARIAH    |   K66A5 KHDL    |  5.0  
HAZEL        |   K65A5 KHDL    |  7.9  
AI           |   K66A5 KHDL    |  8.6  
MARIETTA     |   K63A5 KHDL    |  8.7  
SHAKITA      |  K64A1 ToanHoc  |  4.6  
EILEEN       |   K64A5 KHDL    |  2.4  
ALESSANDRA   |  K65A2 ToanTin  |  5.3  
JOHNA        |  K66A2 ToanTin  |  3.1  
WILLY        |  K66A1 ToanHoc  |  8.4  
CHRISSY      |  K63A1 ToanHoc  |  7.7  
DELICIA      |  K63A2 ToanTin  |  1.6  
PATTI        |   K66A5 KHDL    |  9.2  
ANGLE        |  K65A4 KHMT&TT  |  2.5  
SATURNINA    |  K67A2 ToanTin  |  8.6  
EFFIE        |  K66A3 KHMT&TT  |  8.2  
ELVERA       |  K64A1 ToanHoc  |  5.7  
JACINDA      |  K64A2 ToanTin  |  0.1  
MABELLE      |  K64A2 ToanTin  |  3.2  
KETURAH      |  K67A3 KHMT&TT  |  0.1  
HSIU         |  K64A4 KHMT&TT  |  3.1  
ELENORE      |  K64A3 KHMT&TT  |  0.2  
STEPHAINE    |  K67A2 ToanTin  |  6.2  
ALEXANDRA    |  K65A1 ToanHoc  |  7.8  
JEWEL        |  K64A1 ToanHoc  |  2.5  
LESLIE       |   K67A5 KHDL    |  6.6  
MIRIAN       |   K63A5 KHDL    |  2.2  
JERI         |  K66A3 KHMT&TT  |  3.7  
AGATHA       |  K65A2 ToanTin  |  3.3  
LANE         |   K64A5 KHDL    |  8.5  
TED          |  K67A2 ToanTin  |  0.8  
REFUGIA      |  K65A1 ToanHoc  |  8.0  
TOI          |  K66A1 ToanHoc  |  1.3  
OLLIE        |  K65A3 KHMT&TT  |  10.0 
BABARA       |  K63A3 KHMT&TT  |  0.2  
RAELENE      |  K65A3 KHMT&TT  |  2.6  
ALEXIS       |  K65A2 ToanTin  |  8.6  
CARMEL       |  K64A4 KHMT&TT  |  5.3  
GAYLENE      |  K63A1 ToanHoc  |  8.8  
FONDA        |  K63A1 ToanHoc  |  1.1  
RICKEY       |  K66A2 ToanTin  |  9.3  
REBEKAH      |  K67A3 KHMT&TT  |  4.0  
HORTENSIA    |  K67A4 KHMT&TT  |  1.0  
KERI         |  K64A3 KHMT&TT  |  9.1  
ZADA         |  K66A2 ToanTin  |  2.1  
DANIAL       |  K67A1 ToanHoc  |  4.5  
HUGO         |  K65A4 KHMT&TT  |  4.3  
LORETA       |  K65A3 KHMT&TT  |  0.0  
ROMA         |  K66A2 ToanTin  |  0.3  
MELISA       |   K63A5 KHDL    |  0.2  
MYRLE        |  K67A4 KHMT&TT  |  1.2  
VONCILE      |  K64A3 KHMT&TT  |  4.8  
GLAYDS       |  K64A3 KHMT&TT  |  8.5  
WILHEMINA    |   K64A5 KHDL    |  0.7  
DOT          |  K64A2 ToanTin  |  6.2  
SCOTTY       |   K65A5 KHDL    |  6.1  
VESTA        |  K63A2 ToanTin  |  2.8  
MAXIE        |   K65A5 KHDL    |  7.0  
RONNIE       |  K64A4 KHMT&TT  |  0.7  
JONA         |  K66A3 KHMT&TT  |  2.7  
NADA         |  K67A1 ToanHoc  |  7.8  
NIESHA       |  K67A1 ToanHoc  |  6.3  
SHONNA       |  K63A2 ToanTin  |  4.4  
CARLENE      |  K67A4 KHMT&TT  |  4.2  
SOPHIE       |  K66A3 KHMT&TT  |  9.4  
SHONA        |  K67A4 KHMT&TT  |  5.8  
EFRAIN       |  K65A2 ToanTin  |  3.3  
DEJA         |  K66A1 ToanHoc  |  4.8  
CLEMENT      |  K65A1 ToanHoc  |  1.2  
ELBA         |   K64A5 KHDL    |  5.6  
STARLA       |   K65A5 KHDL    |  8.2  
COLLETTE     |  K66A2 ToanTin  |  7.6  
ORVAL        |   K65A5 KHDL    |  9.6  
VIRGEN       |  K66A1 ToanHoc  |  8.0  
EULA         |  K67A4 KHMT&TT  |  8.5  
ELOIS        |  K66A3 KHMT&TT  |  1.8  
OUIDA        |  K65A4 KHMT&TT  |  4.4  
RODRIGO      |  K67A3 KHMT&TT  |  7.7  
REFUGIA      |  K67A4 KHMT&TT  |  7.6  
REANNA       |  K67A2 ToanTin  |  2.0  
SALLIE       |   K63A5 KHDL    |  4.2  
ADINA        |   K64A5 KHDL    |  7.9  
SIGRID       |  K64A1 ToanHoc  |  4.5  
DOLORIS      |  K67A4 KHMT&TT  |  6.4  
ALENE        |  K65A3 KHMT&TT  |  6.8  
ERLINE       |   K67A5 KHDL    |  0.3  
SHAKIRA      |  K66A2 ToanTin  |  9.0  
ROBIN        |  K67A2 ToanTin  |  0.5  
GLYNIS       |  K67A2 ToanTin  |  8.6  
JASPER       |  K65A1 ToanHoc  |  2.3  
DONNELL      |  K63A1 ToanHoc  |  7.1  
MELBA        |  K66A2 ToanTin  |  6.7  
KAYLEE       |  K63A4 KHMT&TT  |  5.7  
ESTA         |  K65A3 KHMT&TT  |  3.5  
JETTA        |  K67A2 ToanTin  |  6.4  
ARLENE       |  K63A2 ToanTin  |  4.2  
GAYNELL      |  K67A3 KHMT&TT  |  6.5  
NU           |  K65A4 KHMT&TT  |  2.3  
YANG         |  K66A2 ToanTin  |  9.2  
ELA          |   K64A5 KHDL    |  1.6  
SUZIE        |   K63A5 KHDL    |  8.6  
NADA         |  K64A2 ToanTin  |  5.0  
ANTIONE      |   K65A5 KHDL    |  2.3  
WILMER       |  K64A4 KHMT&TT  |  1.9  
CHI          |  K65A1 ToanHoc  |  0.5  
BURL         |  K67A4 KHMT&TT  |  0.5  
DALLAS       |  K66A2 ToanTin  |  2.5  
JINA         |  K67A1 ToanHoc  |  7.5  
MITCHELL     |  K66A3 KHMT&TT  |  3.6  
ZOILA        |   K65A5 KHDL    |  8.7  
CHERRYL      |  K64A3 KHMT&TT  |  4.1  
KERI         |  K63A3 KHMT&TT  |  4.8  
LAURENCE     |  K65A2 ToanTin  |  8.9  
SYLVIE       |  K67A2 ToanTin  |  4.2  
KEVA         |   K65A5 KHDL    |  5.6  
JEANINE      |   K66A5 KHDL    |  1.4  
LELA         |  K67A3 KHMT&TT  |  7.5  
NIKI         |  K64A1 ToanHoc  |  6.5  
LINWOOD      |  K65A4 KHMT&TT  |  3.1  
JENNI        |  K63A2 ToanTin  |  7.7  
SEE          |  K66A2 ToanTin  |  6.5  
MELLIE       |  K66A3 KHMT&TT  |  7.1  
ROSENDA      |  K63A2 ToanTin  |  9.7  
ISRAEL       |   K67A5 KHDL    |  1.7  
ANDERSON     |  K63A2 ToanTin  |  6.4  
VALENE       |  K66A3 KHMT&TT  |  8.0  
TYRONE       |  K63A3 KHMT&TT  |  8.8  
LUKE         |  K63A3 KHMT&TT  |  1.5  
WERNER       |  K67A2 ToanTin  |  1.8  
EVETTE       |  K65A1 ToanHoc  |  7.5  
WALLY        |   K63A5 KHDL    |  8.9  
ASHLIE       |   K64A5 KHDL    |  2.7  
JAME         |  K63A3 KHMT&TT  |  2.1  
CLAUDIE      |  K64A3 KHMT&TT  |  3.5  
KIMBERLEE    |  K67A4 KHMT&TT  |  1.5  
LENARD       |  K64A1 ToanHoc  |  8.1  
LOURA        |   K63A5 KHDL    |  5.9  
ROSELIA      |  K67A3 KHMT&TT  |  9.8  
AMADA        |  K63A1 ToanHoc  |  2.9  
ESMERALDA    |  K63A1 ToanHoc  |  5.5  
ZULMA        |  K67A1 ToanHoc  |  2.9  
SHERWOOD     |  K63A1 ToanHoc  |  4.0  
EDDIE        |  K67A4 KHMT&TT  |  8.8  
EDUARDO      |  K63A1 ToanHoc  |  2.6  
LAURETTE     |  K63A3 KHMT&TT  |  7.0  
KRISTINE     |  K65A4 KHMT&TT  |  0.3  
CASSANDRA    |  K65A1 ToanHoc  |  5.1  
ERYN         |  K66A4 KHMT&TT  |  2.0  
DONA         |  K65A4 KHMT&TT  |  2.5  
HIEN         |  K66A2 ToanTin  |  1.6  
MARLENE      |  K65A1 ToanHoc  |  4.1  
LACIE        |  K63A4 KHMT&TT  |  4.2  
MARCELINO    |  K65A3 KHMT&TT  |  4.8  
LESIA        |   K67A5 KHDL    |  1.7  
DONELLA      |   K64A5 KHDL    |  9.5  
MARYLN       |  K67A4 KHMT&TT  |  1.5  
HOPE         |  K67A1 ToanHoc  |  7.2  
NELLIE       |  K67A2 ToanTin  |  5.6  
TRENA        |   K64A5 KHDL    |  4.8  
KERI         |  K66A2 ToanTin  |  7.2  
VESTA        |   K67A5 KHDL    |  5.4  
NOELLA       |  K63A1 ToanHoc  |  7.9  
JOLYN        |  K63A3 KHMT&TT  |  3.6  
LAVERNA      |   K65A5 KHDL    |  9.6  
